query,median,min,max
q11-v2.4,346.0,341,369
q12-v2.4,18.0,17,19
q14a-v2.4,559.0,536,569
q14b-v2.4,487.0,479,489
q15-v2.4,17.0,16,18
q17-v2.4,362.0,361,431
q2-v2.4,25.0,22,29
q20-v2.4,2.0,2,3
q21-v2.4,16.0,15,17
q22-v2.4,41.0,41,41
q23a-v2.4,1211.0,1203,1217
q25-v2.4,369.0,368,378
q27-v2.4,69.0,68,78
q28-v2.4,205.0,203,211
q29-v2.4,358.0,352,360
q30-v2.4,49.0,45,50
q31-v2.4,165.0,151,169
q33-v2.4,62.0,60,65
q34-v2.4,45.0,45,47
q35-v2.4,61.0,60,63
q36-v2.4,53.0,52,53
q38-v2.4,74.0,73,74
q43-v2.4,34.0,33,36
q46-v2.4,70.0,68,70
q47-v2.4,85.0,85,87
q48-v2.4,81.0,78,82
q51-v2.4,120.0,116,123
q54-v2.4,157.0,156,158
q55-v2.4,36.0,35,36
q57-v2.4,3.0,2,3
q60-v2.4,63.0,61,63
q61-v2.4,110.0,107,112
q64-v2.4,774.0,681,793
q66-v2.4,27.0,27,30
q67-v2.4,1115.0,1045,1123
q69-v2.4,53.0,46,55
q71-v2.4,58.0,53,58
q73-v2.4,36.0,36,38
q74-v2.4,321.0,289,325
q77-v2.4,113.0,112,122
q78-v2.4,580.0,576,600
q79-v2.4,71.0,68,76
q8-v2.4,48.0,45,51
q82-v2.4,79.0,75,81
q84-v2.4,29.0,29,30
q85-v2.4,146.0,144,146
q86-v2.4,20.0,19,22
q88-v2.4,174.0,168,194
q89-v2.4,46.0,46,48
q93-v2.4,449.0,447,454
q94-v2.4,126.0,125,127
q96-v2.4,37.0,34,41
q97-v2.4,98.0,98,104
ss_max-v2.4,67.0,66,70
q1-v2.4,51.0,46,57
q10-v2.4,57.0,54,58
q13-v2.4,275.0,275,281
q16-v2.4,23.0,22,24
q18-v2.4,29.0,28,29
q19-v2.4,61.0,59,62
q23b-v2.4,921.0,907,929
q24a-v2.4,508.0,505,527
q24b-v2.4,496.0,495,503
q26-v2.4,6.0,6,7
q3-v2.4,39.0,37,47
q32-v2.4,2.0,2,3
q37-v2.4,16.0,15,17
q39a-v2.4,33.0,28,34
q39b-v2.4,25.0,24,34
q4-v2.4,725.0,716,727
q40-v2.4,22.0,21,48
q41-v2.4,1.0,1,1
q42-v2.4,34.0,33,36
q44-v2.4,88.0,87,91
q45-v2.4,87.0,83,88
q49-v2.4,152.0,151,160
q5-v2.4,204.0,196,207
q50-v2.4,202.0,202,208
q52-v2.4,38.0,36,62
q53-v2.4,44.0,43,44
q56-v2.4,63.0,60,64
q58-v2.4,54.0,52,55
q59-v2.4,82.0,81,84
q6-v2.4,149.0,144,149
q62-v2.4,17.0,17,19
q63-v2.4,42.0,40,44
q65-v2.4,154.0,152,154
q68-v2.4,91.0,86,97
q7-v2.4,72.0,72,77
q70-v2.4,70.0,70,72
q72-v2.4,139.0,139,140
q75-v2.4,226.0,223,232
q76-v2.4,57.0,55,60
q80-v2.4,682.0,681,684
q81-v2.4,51.0,51,58
q83-v2.4,31.0,30,33
q87-v2.4,88.0,88,89
q9-v2.4,290.0,283,293
q90-v2.4,19.0,18,20
q91-v2.4,30.0,29,32
q92-v2.4,27.0,27,29
q95-v2.4,1026.0,673,1322
q98-v2.4,46.0,45,49
q99-v2.4,2.0,1,2
